356 ,arena             ,kalangan
357 ,kulit ari         ,kulit ari
358 ,ari-ari           ,ari-ari
359 ,arif              ,wicaksana
360 ,tepi              ,pinggir
361 ,arisan            ,arisan
362 ,arit              ,arit
363 ,arloji            ,jam
364 ,arnal             ,susuk kondhe
365 ,aroma             ,ambune
366 ,aron              ,ngaron
367 ,arpus             ,arpus
368 ,arti              ,makna
369 ,artis             ,artis
370 ,mengarungi        ,njelajah
371 ,arus              ,milir
372 ,arwah             ,roh
373 ,poros             ,poros
374 ,asa               ,karsa
375 ,putus asa         ,nglokro
376 ,asah              ,asah
377 ,batu asahan       ,ungkal
378 ,mengasah          ,ngasah
379 ,asal              ,asal
380 ,asalkan           ,anggere
381 ,asalnya           ,asale
382 ,asal-usul         ,asal-usul
383 ,berasal           ,asale saka
384 ,asam              ,asem
385 ,kecut             ,kecut
386 ,asap              ,kukus
387 ,berasap           ,kumebul
388 ,asar              ,asar
389 ,asbes             ,asbes
390 ,asih              ,asih
391 ,mengasihi         ,nresnani
392 ,asin              ,asin
393 ,asing             ,sejen
394 ,asisten           ,pembantu
395 ,asli              ,asli
396 ,asma              ,mengi
397 ,asmara            ,asmoro
398 ,istirahat         ,ngaso
399 ,asrama            ,pondhokan
400 ,asri              ,asri
401 ,asuh              ,dhidhik
402 ,mengasuh          ,momong
403 ,asuhan            ,momongan
404 ,asyik             ,karem
405 ,atap              ,payon
406 ,atas              ,dhuwur
407 ,diatas            ,ing dhuwur
408 ,ke atas           ,munggah
409 ,mengatasi         ,mrantasi
410 ,atau              ,utawa
411 ,aturan            ,tatanan
412 ,mengatur          ,mernate
413 ,peraturan         ,pathokan
414 ,bambu             ,pring
415 ,aurat             ,aurat
416 ,aus               ,gerang
417 ,awak              ,awak
418 ,awal              ,wiwitan
419 ,awalnya           ,mulane
420 ,awan              ,mega
421 ,awang-awang       ,awing-awang
422 ,awas              ,premana
423 ,pengawas          ,mandhor
424 ,mengawasi         ,ngawasi
425 ,awet              ,awet
426 ,ngawur            ,ngawur
427 ,ayak              ,nyaring
428 ,ayakan            ,ayakan
429 ,ayam              ,pitik
430 ,anak ayam         ,kuthuk
431 ,ayam alas         ,ayam alas
432 ,ayem              ,tentrem
433 ,ayah              ,bapa
434 ,ayan              ,ayan
435 ,ayat              ,ayat
436 ,ayo               ,gagian
437 ,cantik            ,ayu
438 ,ayunan            ,gandhulan
439 ,azab              ,siksa
440 ,bab               ,bab
441 ,babad             ,babad
442 ,babak belur       ,babak bundhas
443 ,beber             ,mbeber
444 ,babat             ,babat
445 ,tebang            ,tegor
446 ,membabat          ,mbabat
447 ,babi              ,celeng
448 ,induk             ,babon
449 ,babu              ,pembantu
450 ,babut             ,babut
451 ,baca              ,waca
452 ,bacaan            ,wacaan
453 ,membaca           ,maca
454 ,dibacakan         ,diwacake
455 ,bacin             ,bacin
456 ,bacok             ,kethok
457 ,membacok          ,mbacok
458 ,badai             ,lisus
459 ,badak             ,warak
460 ,badan             ,salira
461 ,menyebadani       ,saresmi
462 ,badung            ,nakal
463 ,badut             ,badhut
464 ,bagai             ,kados
465 ,bagaimana         ,kepriye
466 ,bagal jagung      ,janggel
467 ,bagi              ,bagi
468 ,bagian            ,bagean
469 ,dibagi            ,didum
470 ,membagi           ,ngedum
471 ,kebagian          ,keduman
472 ,sebagian          ,saperangan
473 ,pembagian         ,dum-duman
474 ,bagus             ,becik
475 ,bahagia           ,bungah
476 ,terbahak          ,ngakak
477 ,bahan             ,bahan
478 ,bahasa            ,basa
479 ,bahaya            ,bebaya
480 ,berbahaya         ,mbebayani
481 ,bahenol           ,semok
482 ,bahkan            ,malahan
483 ,bahtera           ,prau
484 ,bahu              ,pundhak
485 ,bahwasanya        ,sakbenere
486 ,baik              ,apik
487 ,memperbaiki       ,mbenerke
488 ,sebaiknya         ,apike
489 ,baja              ,waja
490 ,bajak             ,singkal
491 ,bajak             ,kecu
492 ,bajing            ,bajing
493 ,bajingan          ,bajingan
494 ,baju              ,klambi
495 ,baka              ,baka
496 ,bakal             ,bakal
497 ,bakar             ,obong
498 ,kebakaran         ,kobongan
499 ,dibakar           ,diobong
500 ,membakar          ,ngobor
501 ,bakau             ,bakau
502 ,bakhil            ,medhit
503 ,baki              ,baki
504 ,bakiak            ,theklek
505 ,bakmi             ,bakmi
506 ,bakso             ,bakso
507 ,bakteri           ,bakteri
508 ,bakti             ,bekti
509 ,berbakti          ,ngabekti
510 ,bakul nasi        ,wakul
511 ,bola              ,bal
512 ,bala              ,bala
513 ,balai             ,bale
514 ,balai-balai       ,amben
515 ,bangsal           ,bangsal
516 ,balapan           ,balapan
517 ,balar             ,bule
518 ,balas             ,wales
519 ,membalas          ,mbales
520 ,balasan           ,balesan
521 ,balatentara       ,prajurit
522 ,dukun             ,dhukun
523 ,balik             ,walik
524 ,membalik          ,malik
525 ,terbalik          ,kuwalik
526 ,sebaliknya        ,suwalike
527 ,baliq             ,baleq
528 ,balok             ,balok
529 ,balon             ,plembungan
